class,size,distribution,activity,evolution,previous_24_hours,historical_complexity,become_complex,area,area_of_largest_spot,cClassFlares,mClassFlares,xClassFlares
B,X,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,K,I,1,3,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
B,X,I,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,K,I,1,3,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
D,K,I,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
D,K,I,1,2,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
D,S,O,1,3,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
H,A,X,1,1,1,1,1,1,1,0,0,0
H,S,X,1,1,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,1,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
D,A,C,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
C,A,O,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
D,S,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,R,X,1,1,1,1,1,1,1,0,0,0
D,A,O,1,1,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
E,A,C,1,3,1,1,1,1,1,0,0,0
D,A,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
H,H,X,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,O,1,1,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,R,I,1,3,1,1,1,1,1,0,0,0
D,R,I,1,3,1,1,1,1,1,0,0,0
H,A,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
H,H,X,1,3,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
E,A,I,1,2,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
H,A,X,1,3,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
D,S,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,R,O,1,1,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
E,A,O,1,2,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
H,A,X,1,3,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,A,O,1,1,1,1,1,1,1,0,0,0
E,A,I,1,2,1,1,1,1,1,0,0,0
E,A,C,1,2,1,1,1,1,1,0,0,0
H,A,X,1,2,1,1,1,1,1,0,0,0
D,A,C,1,2,1,1,1,1,1,0,0,0
E,S,I,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
E,A,O,1,3,1,1,1,1,1,0,0,0
E,A,O,1,2,1,1,1,1,1,0,0,0
C,A,O,1,2,1,1,1,1,1,0,0,0
D,A,C,1,2,1,1,1,1,1,0,0,0
E,S,I,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
D,R,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,A,X,1,2,1,1,1,1,1,0,0,0
F,A,I,1,2,1,1,1,1,1,0,0,0
C,A,O,1,3,1,1,1,1,1,0,0,0
C,A,I,1,2,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,R,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,S,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
F,A,I,1,2,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,A,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,R,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
F,A,I,1,2,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,R,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
F,A,I,1,1,1,1,1,1,1,0,0,0
H,R,X,1,1,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
E,S,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,R,I,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
D,A,O,1,2,1,1,1,1,1,0,0,0
H,R,X,1,1,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
E,S,I,1,2,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
C,R,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,S,O,1,3,1,1,1,1,1,0,0,0
D,H,O,1,3,1,1,1,1,1,0,0,0
D,R,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
C,S,I,1,3,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
D,S,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
D,A,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,S,I,1,3,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
F,S,O,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
C,R,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
D,A,O,1,3,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,1,1,1,0,0,0
F,H,O,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,R,I,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
D,S,O,1,3,1,1,1,1,1,0,0,0
D,S,I,1,1,1,1,1,1,1,0,0,0
C,R,I,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
B,X,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
C,S,I,1,3,1,1,1,1,1,0,0,0
H,R,X,1,1,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
B,X,I,1,2,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
D,A,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
C,S,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
E,A,I,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,1,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
D,A,O,1,2,1,1,1,1,1,0,0,0
F,S,I,1,3,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
E,S,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,1,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
F,S,I,1,3,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
D,R,C,1,3,1,1,1,1,1,0,0,0
H,K,X,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,A,X,1,1,1,1,1,1,1,0,0,0
F,S,I,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
D,S,I,1,2,1,1,1,1,1,0,0,0
E,H,C,1,3,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
C,H,O,1,3,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
F,R,I,1,2,1,1,1,1,1,0,0,0
H,S,X,1,1,1,1,1,1,1,0,0,0
D,A,I,1,3,1,1,1,1,1,0,0,0
E,K,I,1,3,1,1,1,1,1,0,0,0
F,H,O,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,2,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,1,1,1,0,0,0
F,K,I,1,2,1,1,1,1,1,0,0,0
E,H,O,1,2,1,1,1,1,1,0,0,0
B,X,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
D,S,I,1,2,1,1,1,1,1,0,0,0
E,K,I,1,2,1,1,1,1,1,0,0,0
F,H,O,1,3,1,1,1,1,1,0,0,0
C,R,O,1,3,1,1,1,1,1,0,0,0
C,S,O,1,3,1,1,1,1,1,0,0,0
H,R,X,1,1,1,1,1,1,1,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
F,K,I,1,2,1,1,1,1,1,0,0,0
D,H,I,1,3,1,1,1,1,1,0,0,0
C,R,O,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
B,X,O,1,3,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
F,A,I,1,3,1,1,1,1,1,0,0,0
E,H,I,1,3,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,1,1,1,0,0,0
H,S,X,1,3,1,1,1,1,1,0,0,0
H,R,X,1,3,1,1,1,1,1,0,0,0
F,A,I,1,3,1,1,1,1,1,0,0,0
E,H,I,1,3,1,1,1,1,1,0,0,0
